,DEPARTMENT,SECTION,LOCATION,DETAIL LOCATION,TANGGAL TERIMA BARANG,JENIS  MOBIL,BULAN ASET,TAHUN ASET,SPESIFIKASI,PIC LANGSUNG,HARGA BELI,MERK,TYPE,NOPOL,NOPOL LAMA,NO RANGKA,NO MESIN,TAHUN REGISTRASI,TAHUN PEMBUATAN,KETOGORI USIA,USIA,KEBERADAAN BPKB,NO BPKB,NAMA DI BPKB,ALAMAT BPKB,KEBERADAAN FAKTUR & SERTIFIKAT,NO FAKTUR,WARNA KABIN,WARNA BOX,WARNA PLAT,TIPE KAROSERI / BOX,PANJANG KAROSERI LUAR,LEBAR KAROSERI LUAR,TINGGI KAROSERI LUAR,KEBERADAAN PAJAK,NO PAJAK,NAMA PAJAK,ALAMAT PAJAK,STATUS STNK,NO STNK,NAMA STNK,ALAMAT STNK,VENDOR GPS,GPS,IMEI/SN,NO HP GPS,JENIS JARINGAN,PAJAK,STNK,BIAYA PAJAK,JATUH TEMPO PAJAK,JATUH TEMPO STNK,MONTH,NO KEUR,EXP KIR,JATUH TEMPO KIR,MONTH,STATUS KEUR,SO 1 JULI 25,KEY
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,24/03/2021,CDD LONG,02,2021,,,,MITSUBISHI,FE 84 G K (4X2) M/T,B 9080 TXV,,MHMFE84PWLK018869,4D34T-UY3596,,2020,6-10 Tahun,6,ADA,Q-06999813,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",ADA,001352/0221/01,MERAH,,KUNING,,,,,,,,,,,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085192581290,2G/3G,10/03/2026,10/03/2026,Rp947.500,-10,-10,3,JKT2104462,10/03/2026,-10,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,24/03/2021,CDD LONG,02,2021,,,,MITSUBISHI,FE84 G K (4X2) M/T,B 9082 TXV,,MHMFE84PWLK018761,4D34T-UY3135,,2020,6-10 Tahun,6,ADA,Q-06999815,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",ADA,001351/0221/01,MERAH,,KUNING,,,,,,,,,,,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,864606048201544,08115969050C,,10/03/2026,10/03/2026,Rp947.500,-10,-10,3,JKT2104470,11/04/2026,-42,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,24/03/2021,CDD LONG,02,2021,,,,MITSUBISHI,FE 84 G K (4X2) M/T,B 9084 TXV,,MHMFE84PWLK018751,4D34T-UY3162,,2020,6-10 Tahun,6,ADA,Q-06999816,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",ADA,001353/0221/01,MERAH,,KUNING,,,,,,,,,,,PT. PELANGI SUKSES CEMERLANG,"RUKO TAMAN MODERN CAKUNG R.5 NO.3-5, JL. RAYA BEKASI KM24 RT002 RW004, UJUNG MENTENG, CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036258990,08115971735C,,10/03/2026,10/03/2026,Rp947.500,-10,-10,3,JKT2104465,22/03/2026,-22,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,POLEWALI,POLEWALI,,MOTOR,00,2019,,,,HONDA,NF11T11C01 M/T,DD 2391 US,,MH1JBK118KK669958,JBK1E1666702,,2019,6-10 Tahun,7,ADA,Q-00527080,PT. LESTARI JAYA RAYA SENTOSA,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,ADA,FH/DA3/102807/S,HITAM,,HITAM,,,,,,,,,,,,,,TIDAK ADA,MOTOR,,,23/03/2026,23/03/2026,Rp214.280,-23,-23,3,,,,,,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-MEDAN,AAM-MEDAN,,CDD LONG,04,2020,,,,MITSUBISHI,FE71 (4X2) M/T,B 9605 PXS,,MHMFE71P1LK064645,4D34T-U29355,2020,2020,6-10 Tahun,6,ADA,Q-00688133,PT. LESTARI JAYA RAYA,JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,000774/0320/01,MERAH,,KUNING,BESI,3.36,1.82,2.28,ADA,3495511,PT. LESTARI JAYA RAYA,JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - FULL SENSOR,,,,08/04/2026,08/04/2026,Rp1.803.400,-39,-39,4,JKT2013604,30/06/2026,-122,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,GENERAL AFFAIR,HEAD OFFICE,JAKARTA,JAKARTA,,MOTOR,00,2016,,,,HONDA,E1F02N11M2 A/T,B 4330 TKJ,,MH1JFU117GK451131,JFU1E-1449310,,2016,11-15 Tahun,10,ADA,M-07545023,DENDY DERMAGANSYAH,"JL. CENDANI RAYA I-D NO136 RT006 RW 008, KEL. PONDOK BAMBU, KEC. DUREN SAWIT, JAKARTA TIMUR",ADA,FH/AA/105953/P,HITAM,,HITAM,,,,,,,,,,,DENDY DERMAGANSYAH,"JL. CENDANI RAYA I-D NO136 RT006 RW 008, KEL. PONDOK BAMBU, KEC. DUREN SAWIT, JAKARTA TIMUR",,TIDAK ADA,MOTOR,,,11/04/2026,11/04/2026,Rp523.000,-42,-42,4,,,,,,,NON FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-JAYAPURA,AAM-JAYAPURA,27/05/2021,PICK UP BOX,05,2021,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9144 TXV,,MHYHDC61TLJ-240457,K15BT-1232560,,2020,6-10 Tahun,6,ADA,Q-07562728,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4187063,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,TIDAK ADA,,,,29/04/2026,29/04/2026,Rp772.300,-60,-60,4,JKT2108226,07/05/2026,-68,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-NDC CIKARANG,AAM-NDC CIKARANG,,CDD STANDART,02,2019,,,,MITSUBISHI,FE74S4X2MT,B 9469 PCO,,MHMFE74P4JK091092,4D34TSX3554,,2018,6-10 Tahun,8,TIDAK ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,TIDAK ADA,,,,20/12/2026,20/12/2028,Rp5.870.100,-295,-1.026,12,JKT1905900,11/03/2026,-11,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SURABAYA,SURABAYA,,PICK UP BOX,09,2021,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9147 TXV,,MHYHDC61TLJ-240517,K15BT-1232825,,2020,6-10 Tahun,6,ADA,Q-07562730,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4187064,PUTIH SILVER,,KUNING,ALUMUNIUM,255,175,170,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,29/04/2026,29/04/2026,Rp772.300,-60,-60,4,JKT2108205,11/08/2026,-164,8,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SEMARANG,SEMARANG,,PICK UP BOX,09,2021,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9149 TXV,,MHYHDC61TLJ-240552,K15BT-1232808,,2020,6-10 Tahun,6,ADA,Q-07562732,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4187065,PUTIH SILVER,,KUNING,ALUMUNIUM,255,175,169,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,29/04/2026,29/04/2026,Rp772.300,-60,-60,4,JKT2108207,24/04/2026,-55,4,RESMI,ok,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,TERNATE,TERNATE,27/05/2021,PICK UP BOX,05,2021,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9145 TXV,,MHYHDC61TL1240501,K15BT-1232514,,2020,6-10 Tahun,6,ADA,Q-07562729,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4187067,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048268486,085170146984C,,29/04/2026,29/04/2026,Rp520.600,-60,-60,4,JKT2108206,14/10/2026,-228,10,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDE STANDART,00,2006,,,,TOYOTA,DYNA SHORT 3700,DD 8952 MO,,MHFC1BUX360008245,14B1789682,,2006,16 Tahun Lebih,20,TIDAK ADA,,GANDI KRISYAN GOSAL,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,,,,HITAM,ALUMUNIUM,5000,1800,2850,ADA,,,,ADA,,GANDI KRISYAN GOSAL,JL. PONGTIKU NO.107 KEL. TIMUNGAN LOMPOA KEC. BONTOALA KOTA MAKASSAR,,ADA - FULL SENSOR,868998036288039,08115971570C,,05/05/2026,05/05/2026,Rp2.155.805,-66,-66,5,JKT668210,13/02/2026,15,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,30/05/2016,CDE LONG,05,2016,,,,MITSUBISHI,FE71 J (4X2) M/T,B 9082 PCL,,MHMFE71PCGK007663,4D34T-P31705,,2016,11-15 Tahun,10,ADA,M-07658313,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,000704/0516/01,KUNING,,HITAM,BESI,430,185,200,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036260145,08115971881C,,16/05/2026,16/05/2026,Rp4.069.000,-77,-77,5,JKT1613669,01/06/2026,-93,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PEKANBARU,PEKANBARU,,CDE LONG,05,2016,,,,MITSUBISHI,FE71 L (4X2) M/T,B 9083 PCL,,MHMFE71PCGK007661,4D34T-P31704,,2016,11-15 Tahun,10,ADA,M-07658314,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,000702/0516/01,KUNING,,HITAM,BESI,401,82,200,ADA,2281139,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,15340833,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,16/05/2026,16/05/2026,Rp4.069.000,-77,-77,5,JKT1613668,11/02/2026,17,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,MEDAN,MEDAN,,CDE LONG,05,2016,,,,MITSUBISHI,FE71 L (4X2) M/T,B 9084 PCL,OK,MHMFE71PCGK007662,4D34T-P31707,,2016,11-15 Tahun,10,ADA,M-07659075,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,000703/0516/01,MERAH,,HITAM,BESI,430,185,206,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,16/05/2026,16/05/2026,Rp4.843.000,-77,-77,5,JKT1613591,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,29/05/2021,WING BOX,05,2021,,,,HINO,FL8JW1A-BGJ (FL235JW) TRONTON (6X2),B 9346 TEZ,,MJEFL8JW1LJB25159,J08EUGJ-78177,,2020,6-10 Tahun,6,ADA,Q-07572573,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN368074,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862095053035405,085192581537C,,19/05/2026,19/05/2026,Rp2.326.000,-80,-80,5,JKT2108980,13/04/2026,-44,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,31/05/2021,WING BOX,05,2021,,,,HINO,FL8JW1A-BGJ (FL235JW) TRONTON (6X2),B 9373 TEZ,,MJEFL8JW1LJB25152,J08EUGJ-78066,,2020,6-10 Tahun,6,ADA,Q-07572572,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN368073,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048267983,085170146968C,,19/05/2026,19/05/2026,Rp2.326.000,-80,-80,5,JKT2108984,12/05/2026,-73,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,30/05/2021,WING BOX,05,2021,,,,HINO,FL8JW1A-BGJ (FL235JW) TRONTON (6X2),B 9375 TEZ,,MJEFL8JW1LJB25149,J08EUGJ-78063,,2020,6-10 Tahun,6,ADA,Q-07572580,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN368070,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862631036767084,08115989453C,,19/05/2026,19/05/2026,Rp2.326.000,-80,-80,5,JJT2108880,24/03/2026,-24,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,31/05/2021,WING BOX,05,2021,,,,HINO,FL8JW1A-BGJ (FL235JW) TRONTON (6X2),B 9377 TEZ,,MJEFL8JW1LJB25150,J08EUGJ-78064,,2020,6-10 Tahun,6,ADA,Q-07572581,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN368071,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085193635401,,19/05/2026,19/05/2026,Rp2.326.000,-80,-80,5,JKT2108879,30/04/2026,-61,4,RESMI,,FLEET
